bairro;cidade;preco;dados;referencia;tipo;dados;m² de área construída;m² de terreno;vaga;dormitório;suíte
SANTA MARIA;SAO CAETANO DO SUL;R$ 1.300.000,00;3 dormitórios - 1 suíte - 4 vagas - 320,00 m² de área construída - 500,00 m² de terreno;Ref.: 59761;CASA;3 dormitórios - 1 suíte - 4 vagas - 320,00 m² de área construída - 500,00 m² de terreno;320;500;4;3;1
SANTA MARIA;SAO CAETANO DO SUL;R$ 480.000,00;2 dormitórios - 1 vaga - 102,00 m² de área construída - 50,00 m² de terreno;Ref.: 61702;SOBRADO;2 dormitórios - 1 vaga - 102,00 m² de área construída - 50,00 m² de terreno;102;50;1;2;
BARCELONA;SAO CAETANO DO SUL;R$ 990.000,00;3 dormitórios - 3 suítes - 3 vagas - 211,00 m² de área construída - 200,00 m² de terreno;Ref.: 61395;SOBRADO;3 dormitórios - 3 suítes - 3 vagas - 211,00 m² de área construída - 200,00 m² de terreno;211;200;3;3;3
SANTA MARIA;SAO CAETANO DO SUL;R$ 1.100.000,00;2 dormitórios - 224,00 m² de área construída - 400,00 m² de terreno;Ref.: 61134;CASA;2 dormitórios - 224,00 m² de área construída - 400,00 m² de terreno;224;400;;2;
BARCELONA;SAO CAETANO DO SUL;R$ 800.000,00;3 dormitórios - 1 suíte - 4 vagas - 200,00 m² de área construída - 137,00 m² de terreno;Ref.: 61748;SOBRADO;3 dormitórios - 1 suíte - 4 vagas - 200,00 m² de área construída - 137,00 m² de terreno;200;137;4;3;1
CERAMICA;SAO CAETANO DO SUL;R$ 650.000,00;2 dormitórios - 3 vagas - 150,00 m² de área construída - 182,60 m² de terreno;Ref.: 61668;CASA;2 dormitórios - 3 vagas - 150,00 m² de área construída - 182,60 m² de terreno;150;182,6;3;2;
OLIMPICO;SAO CAETANO DO SUL;R$ 636.000,00;2 dormitórios - 2 vagas - 133,00 m² de área construída - 100,00 m² de terreno;Ref.: 62215;SOBRADO;2 dormitórios - 2 vagas - 133,00 m² de área construída - 100,00 m² de terreno;133;100;2;2;
SANTA MARIA;SAO CAETANO DO SUL;R$ 1.060.000,00;3 dormitórios - 3 suítes - 3 vagas - 231,00 m² de área construída - 146,37 m² de terreno;Ref.: 62213;SOBRADO;3 dormitórios - 3 suítes - 3 vagas - 231,00 m² de área construída - 146,37 m² de terreno;231;146,37;3;3;3
BARCELONA;SAO CAETANO DO SUL;R$ 1.350.000,00;4 dormitórios - 4 suítes - 6 vagas - 226,00 m² de área construída - 500,00 m² de terreno;Ref.: 61900;CASA;4 dormitórios - 4 suítes - 6 vagas - 226,00 m² de área construída - 500,00 m² de terreno;226;500;6;4;4
NOVA GERTI;SAO CAETANO DO SUL;R$ 750.000,00;2 dormitórios - 8 vagas - 200,00 m² de área construída - 480,00 m² de terreno;Ref.: 62077;CASA;2 dormitórios - 8 vagas - 200,00 m² de área construída - 480,00 m² de terreno;200;480;8;2;
SANTA MARIA;SAO CAETANO DO SUL;R$ 950.000,00;3 dormitórios - 8 vagas - 230,00 m² de área construída - 610,00 m² de terreno;Ref.: 61622;SOBRADO;3 dormitórios - 8 vagas - 230,00 m² de área construída - 610,00 m² de terreno;230;610;8;3;
OLIMPICO;SAO CAETANO DO SUL;R$ 600.000,00;3 dormitórios - 2 vagas - 119,00 m² de área construída - 203,00 m² de terreno;Ref.: 61780;CASA;3 dormitórios - 2 vagas - 119,00 m² de área construída - 203,00 m² de terreno;119;203;2;3;
OLIMPICO;SAO CAETANO DO SUL;R$ 1.300.000,00;3 dormitórios - 3 suítes - 4 vagas - 300,00 m² de área construída - 189,00 m² de terreno;Ref.: 58806;SOBRADO;3 dormitórios - 3 suítes - 4 vagas - 300,00 m² de área construída - 189,00 m² de terreno;300;189;4;3;3
BARCELONA;SAO CAETANO DO SUL;R$ 1.050.000,00;3 dormitórios - 2 suítes - 6 vagas - 350,00 m² de área construída - 250,00 m² de terreno;Ref.: 61427;SOBRADO;3 dormitórios - 2 suítes - 6 vagas - 350,00 m² de área construída - 250,00 m² de terreno;350;250;6;3;2
