bairro,cidade,preco,dados,referencia,tipo
"SANTA MARIA","SAO CAETANO DO SUL","R$ 1.300.000,00","3 dormitórios - 1 suíte - 4 vagas - 320,00 m² de área construída - 500,00 m² de terreno","Ref.: 59761","CASA"
"SANTA MARIA","SAO CAETANO DO SUL","R$ 480.000,00","2 dormitórios - 1 vaga - 102,00 m² de área construída - 50,00 m² de terreno","Ref.: 61702","SOBRADO"
"BARCELONA","SAO CAETANO DO SUL","R$ 990.000,00","3 dormitórios - 3 suítes - 3 vagas - 211,00 m² de área construída - 200,00 m² de terreno","Ref.: 61395","SOBRADO"
"SANTA MARIA","SAO CAETANO DO SUL","R$ 1.100.000,00","2 dormitórios - 224,00 m² de área construída - 400,00 m² de terreno","Ref.: 61134","CASA"
"BARCELONA","SAO CAETANO DO SUL","R$ 800.000,00","3 dormitórios - 1 suíte - 4 vagas - 200,00 m² de área construída - 137,00 m² de terreno","Ref.: 61748","SOBRADO"
"CERAMICA","SAO CAETANO DO SUL","R$ 650.000,00","2 dormitórios - 3 vagas - 150,00 m² de área construída - 182,60 m² de terreno","Ref.: 61668","CASA"
"OLIMPICO","SAO CAETANO DO SUL","R$ 636.000,00","2 dormitórios - 2 vagas - 133,00 m² de área construída - 100,00 m² de terreno","Ref.: 62215","SOBRADO"
"SANTA MARIA","SAO CAETANO DO SUL","R$ 1.060.000,00","3 dormitórios - 3 suítes - 3 vagas - 231,00 m² de área construída - 146,37 m² de terreno","Ref.: 62213","SOBRADO"
"BARCELONA","SAO CAETANO DO SUL","R$ 1.350.000,00","4 dormitórios - 4 suítes - 6 vagas - 226,00 m² de área construída - 500,00 m² de terreno","Ref.: 61900","CASA"
"NOVA GERTI","SAO CAETANO DO SUL","R$ 750.000,00","2 dormitórios - 8 vagas - 200,00 m² de área construída - 480,00 m² de terreno","Ref.: 62077","CASA"
"SANTA MARIA","SAO CAETANO DO SUL","R$ 950.000,00","3 dormitórios - 8 vagas - 230,00 m² de área construída - 610,00 m² de terreno","Ref.: 61622","SOBRADO"
"OLIMPICO","SAO CAETANO DO SUL","R$ 600.000,00","3 dormitórios - 2 vagas - 119,00 m² de área construída - 203,00 m² de terreno","Ref.: 61780","CASA"
"OLIMPICO","SAO CAETANO DO SUL","R$ 1.300.000,00","3 dormitórios - 3 suítes - 4 vagas - 300,00 m² de área construída - 189,00 m² de terreno","Ref.: 58806","SOBRADO"
"BARCELONA","SAO CAETANO DO SUL","R$ 1.050.000,00","3 dormitórios - 2 suítes - 6 vagas - 350,00 m² de área construída - 250,00 m² de terreno","Ref.: 61427","SOBRADO"
"SANTA MARIA","SAO CAETANO DO SUL","R$ 1.100.000,00","3 dormitórios - 3 suítes - 8 vagas - 400,00 m² de área construída - 200,00 m² de terreno","Ref.: 59542","SOBRADO"
"SANTA MARIA","SAO CAETANO DO SUL","R$ 595.000,00","3 dormitórios - 1 suíte - 3 vagas - 160,00 m² de área construída - 70,00 m² de terreno","Ref.: 62082","SOBRADO"
"BARCELONA","SAO CAETANO DO SUL","R$ 300.000,00","2 dormitórios - 1 vaga - 80,00 m² de área construída - 48,00 m² de terreno","Ref.: 62189","SOBRADO"
"BARCELONA","SAO CAETANO DO SUL","R$ 1.800.000,00","3 dormitórios - 1 suíte - 5 vagas - 451,00 m² de área construída - 480,00 m² de terreno","Ref.: 61912","CASA"
"BARCELONA","SAO CAETANO DO SUL","R$ 950.000,00","3 dormitórios - 3 suítes - 3 vagas - 230,00 m² de área construída - 200,00 m² de terreno","Ref.: 61410","SOBRADO"
"OSVALDO CRUZ","SAO CAETANO DO SUL","R$ 765.000,00","2 dormitórios - 3 vagas - 135,00 m² de área construída - 143,00 m² de terreno","Ref.: 60889","CASA"
"BARCELONA","SAO CAETANO DO SUL","R$ 300.000,00","2 dormitórios - 80,00 m² de área construída - 48,00 m² de terreno","Ref.: 62055","SOBRADO"
"SANTA MARIA","SAO CAETANO DO SUL","R$ 1.200.000,00","4 dormitórios - 2 suítes - 4 vagas - 227,00 m² de área construída - 180,00 m² de terreno","Ref.: 61687","SOBRADO"
"SANTA MARIA","SAO CAETANO DO SUL","R$ 1.500.000,00","4 dormitórios - 1 suíte - 4 vagas - 280,00 m² de área construída - 400,00 m² de terreno","Ref.: 61888","CASA"
"BARCELONA","SAO CAETANO DO SUL","R$ 480.000,00","3 dormitórios - 1 suíte - 1 vaga - 130,00 m² de área construída - 74,00 m² de terreno","Ref.: 61762","SOBRADO"
"BARCELONA","SAO CAETANO DO SUL","R$ 300.000,00","2 dormitórios - 1 vaga - 80,00 m² de área construída - 48,00 m² de terreno","Ref.: 62085","SOBRADO"
"OSVALDO CRUZ","SAO CAETANO DO SUL","R$ 450.000,00","3 dormitórios - 1 vaga - 130,00 m² de área construída - 74,00 m² de terreno","Ref.: 62397","SOBRADO"
"SANTA MARIA","SAO CAETANO DO SUL","R$ 800.000,00","4 dormitórios - 1 suíte - 6 vagas - 370,00 m² de área construída - 500,00 m² de terreno","Ref.: 56911","SOBRADO"
"BARCELONA","SAO CAETANO DO SUL","R$ 1.272.000,00","3 dormitórios - 1 suíte - 2 vagas - 283,80 m² de área construída - 205,00 m² de terreno","Ref.: 61009","SOBRADO"
